nms_iou,conf,precision,recall,f1
0.6,0.6156,0.9377,0.8985,0.9177
0.6,0.6206,0.9374,0.8939,0.9151
0.6,0.6256,0.9372,0.8909,0.9135
0.6,0.6306,0.937,0.8879,0.9118
0.6,0.6356,0.9368,0.885,0.9101
0.6,0.6406,0.9366,0.882,0.9085
0.6,0.6456,0.9361,0.8747,0.9043
0.6,0.6507,0.9354,0.864,0.8983
0.6,0.6557,0.9347,0.8551,0.8931
0.6,0.6607,0.9342,0.8482,0.8891
0.6,0.6657,0.9339,0.8432,0.8862
0.6,0.6707,0.9335,0.8383,0.8833
0.6,0.6757,0.9321,0.8194,0.8721
0.6,0.6807,0.9311,0.8067,0.8645
0.6,0.6857,0.9401,0.806,0.8679
0.6,0.6907,0.9473,0.8041,0.8698
0.6,0.6957,0.9468,0.7965,0.8651
0.6,0.7007,0.9457,0.7761,0.8526
0.6,0.7057,0.9487,0.7761,0.8538
0.6,0.7107,0.9517,0.7761,0.855
0.6,0.7157,0.9546,0.7761,0.8562
0.6,0.7207,0.9576,0.7761,0.8574
0.6,0.7257,0.9606,0.7761,0.8586
0.6,0.7307,0.9629,0.7739,0.8581
0.6,0.7357,0.9623,0.7628,0.8511
0.6,0.7407,0.9619,0.7529,0.8446
0.6,0.7457,0.9607,0.7298,0.8295
0.6,0.7508,0.9788,0.6908,0.81
0.6,0.7558,1.0,0.6539,0.7908
0.6,0.7608,1.0,0.6311,0.7739
0.6,0.7658,1.0,0.597,0.7477
0.6,0.7708,1.0,0.591,0.7429
0.6,0.7758,1.0,0.585,0.7382
0.6,0.7808,1.0,0.5701,0.7262
0.6,0.7858,1.0,0.5558,0.7145
0.6,0.7908,1.0,0.5383,0.6999
0.6,0.7958,1.0,0.4767,0.6456
0.6,0.8008,1.0,0.4119,0.5834
0.6,0.8058,1.0,0.3647,0.5345
0.6,0.8108,1.0,0.3138,0.4777
0.6,0.8158,1.0,0.2338,0.3791
0.6,0.8208,1.0,0.2032,0.3378
0.6,0.8258,1.0,0.1945,0.3257
0.6,0.8308,1.0,0.1627,0.2799
0.6,0.8358,1.0,0.1575,0.2722
0.6,0.8408,1.0,0.1524,0.2644
0.6,0.8458,1.0,0.1192,0.2131
0.6,0.8509,1.0,0.112,0.2014
0.6,0.8559,1.0,0.1047,0.1895
0.6,0.8609,1.0,0.0753,0.14
0.6,0.8659,1.0,0.0292,0.0568
0.6,0.8709,1.0,0.021,0.0412
0.6,0.8759,1.0,0.0,0.0
0.6,0.8809,1.0,0.0,0.0
0.6,0.8859,1.0,0.0,0.0
0.6,0.8909,1.0,0.0,0.0
0.6,0.8959,1.0,0.0,0.0
0.6,0.9009,1.0,0.0,0.0
0.6,0.9059,1.0,0.0,0.0
