field,score,tp,iou
slide_20260908_124032_629,0.6827443838119507,1,0.929
slide_20260908_124032_629,0.6437649130821228,1,0.638
slide_20260908_124049_549,0.7941870093345642,1,0.74
slide_20260908_124049_549,0.745873212814331,1,0.915
slide_20260908_124049_549,0.6453204154968262,1,0.902
slide_20260908_124118_181,0.640548050403595,1,0.802
slide_20260908_124118_181,0.5237569808959961,1,0.799
slide_20260908_124118_181,0.5050750374794006,0,0.0
slide_20260908_124118_181,0.48529717326164246,1,0.887
slide_20260908_124118_181,0.4337485134601593,0,0.0
slide_20260908_124118_181,0.011217433959245682,0,0.0
slide_20260908_124210_065,0.6765263080596924,1,0.813
slide_20260908_124210_065,0.46442851424217224,1,0.914
slide_20260908_124210_065,0.10840938240289688,0,0.0
slide_20260908_124227_361,0.7185719013214111,1,0.68
slide_20260908_124227_361,0.6617090702056885,1,0.76
slide_20260908_124227_361,0.4982037842273712,0,0.0
slide_20260908_124227_361,0.46702054142951965,0,0.0
slide_20260908_124251_353,0.5771883726119995,1,0.725
slide_20260908_124251_353,0.1752706915140152,1,0.776
slide_20260908_130229_684,0.7394958138465881,1,0.869
slide_20260908_130229_684,0.6660602688789368,1,0.724
slide_20260908_130229_684,0.6163457036018372,1,0.83
slide_20260908_130229_684,0.6011318564414978,0,0.0
slide_20260908_130229_684,0.5846433639526367,0,0.0
slide_20260908_130229_684,0.19684383273124695,0,0.0
slide_20260908_130229_684,0.12027010321617126,0,0.0
slide_20260908_130229_684,0.02839159220457077,0,0.0
slide_20260908_130319_808,0.8034611940383911,1,0.917
slide_20260908_130319_808,0.786236584186554,1,0.863
slide_20260908_130319_808,0.5786888599395752,0,0.0
slide_20260908_130402_847,0.7635109424591064,1,0.94
slide_20260908_130503_156,0.7532385587692261,1,0.82
slide_20260908_130606_595,0.7359693646430969,1,0.827
slide_20260908_130625_727,0.7545837759971619,1,0.891
slide_20260908_130638_823,0.8239924311637878,1,0.825
slide_20260908_130724_842,0.8017500638961792,1,0.778
slide_20260908_130724_842,0.7721800208091736,1,0.931
slide_20260908_130748_394,0.5940702557563782,1,0.839
slide_20260908_130748_394,0.01873885653913021,0,0.0
slide_20260908_130806_357,0.8124669790267944,1,0.805
slide_20260908_130831_813,0.8306660056114197,1,0.969
slide_20260908_130831_813,0.8055960536003113,1,0.782
slide_20260908_130831_813,0.7971193194389343,1,0.862
slide_20260908_130900_782,0.8233087658882141,1,0.794
slide_20260908_130934_272,0.8421539664268494,1,0.87
slide_20260908_130953_693,0.8145737051963806,1,0.817
slide_20260908_130953_693,0.5767279863357544,0,0.0
slide_20260908_131040_207,0.5486322641372681,1,0.856
slide_20260908_131040_207,0.5415529012680054,1,0.869
slide_20260908_131123_299,0.809401273727417,1,0.923
slide_20260908_131147_429,0.8169135451316833,1,0.781
slide_20260908_131204_668,0.7827200293540955,1,0.829
slide_20260908_131204_668,0.7241778373718262,1,0.837
slide_20260908_131204_668,0.05819317698478699,0,0.0
slide_20260908_131223_132,0.8233369588851929,1,0.944
slide_20260908_131241_596,0.8151004314422607,1,0.887
slide_20260908_131241_596,0.7470951080322266,1,0.886
slide_20260908_131310_432,0.15734437108039856,1,0.902
slide_20260908_131324_455,0.6735990047454834,1,0.877
slide_20260908_141402_806,0.6815405488014221,1,0.734
slide_20260908_141429_734,0.8379349708557129,1,0.919
slide_20260908_141429_734,0.766453742980957,1,0.888
slide_20260908_141458_626,0.7330568432807922,1,0.766
slide_20260908_141532_163,0.779634416103363,1,0.833
slide_20260908_141532_163,0.5294317007064819,0,0.0
slide_20260908_141532_163,0.0672067403793335,0,0.0
slide_20260908_141601_927,0.5784973502159119,1,0.766
